verse_text,label
but thrown in a heap with a crush and a clatter;,0
then the smile from her bright eyes faded and a flush came over her cheek,3
"east, west, north, south, are his domain.",2
touch it: the marble eyelids are not wet--,2
despised am i by those who call'd me friend,3
"of his faint steed; the latter, as he stretch’d",2
"which overflows in notes of liquid gladness,",1
"to men below,",2
"a crow dot sat a-squawkin', ""i's a mockin'-bird.""",2
"from kindling spark struck out from dead king's brow,",3
"the eyes beside had wrung them dry,",2
that in their lives such deadly fray they ne'er had seen before.,0
"by his sacrifice, foreknown",2
"let those whom nature hath not made for store,",2
both the unseen and the seen;,2
"oh, those days, so sweet, so happy,",1
"and what then doth he gather? if we know,",2
"their hate, and selfishness, and pride!",0
my father’s sister started when she caught,2
"false-faces hung on strings,",0
"i left the place with all my might, --",2
in latmian fountains long ago.,2
he who plays with old iagoo,2
"on its windy site uplifting gabled roof and palisade,",2
"(like essence-peddlers) thet'll make folks long to be without 'em,",2
"in the worst of his poems are mines of rich matter,",3
"sometime, when all life's lessons have been learned,",2
"on the clear mirror of a loving heart,",1
"a story of the days of old,",2
points beyond the midnight hour.,2
twas when you stole my maidenhead;,0
"uttering bare truth, even so as foes commend.",1
"we're a band!"" said the weary big dragoon.",2
"let us do our work as well,",2
of nature's gold and mints it.,2
"his days in peace; but his straight lips were bent,",3
"o, i can ne'er forget",2
"lord, remember me!""",2
"and so on. then a worthless gaud or two,",0
"a spirit, neither here nor there,",2
"knowing this, that never yet",2
i met them one day and each had a flower,2
willis sneered:,0
"hear its low inward singing,",2
can storied urn or animated bust:,2
"we're perishing and blind!""",0
to gather weeds in the regardless stream.,2
"so, then, without a word that might offend",2
i would not live alway--live alway below!,2
"tormented by the quickened blood of roots,",0
and my white cottage--plain.,2
"then he said ""amarant""; and the damsel drew",2
for vessels moulded by a mortal hand?,2
"soon ez she gits out o' sight,",2
no controversial hebraist was the dame;,2
the garrison-house stood watching on the gray rocks of cape ann;,2
along the track. afore the noonday meal,2
three banks in three degrees the sailors bore;,2
"endu'd with human voice and human sense,",2
wilt thou our lowly beds with tears of pity lave?',0
a woman has been strangled with less weight:,0
a tyrian colony; the people made,2
lift their blue woods in broken chain,2
shine knightly star and plume of snow?,1
"and tip with feathers, orange and green,",2
"dauntless he rose, and to the fight return’d;",1
"an', fust you knowed on, back come charles the second;",2
"science and song, and all the arts that please;",1
"jehovah, jove, or lord!",2
"what though the claret circled well,",2
"seed-field of simpler manners, braver truth,",1
"and gladys said,",2
"let me all risk, and leave the deep heart dumb",0
on to their shining goals:--,1
"the herded wolves, bold only to pursue;",2
and after that the winter cold and drear.,0
"stood and watched it at the doorway,",2
"under these leafy vaults and walls,",2
the wheat-blade whispers of the sheaf.,2
but still within my bosom's core,2
"but o, nevermore can we prison him tight.",0
"nathless, as hath been often tried,",2
"his golden cross worn innermostly, (carved",2
at his approaching footsteps.  winter came,2
"to sunset they would sip of the tea, drink of the beer, and eat of the",2
"the foes inclosing, and his friend pursued,",0
"swifter far than happy night,",1
the red sword sealed their vows!,3
nor looks on that dread place,0
"yea, all the world it might be, and all sounds of the earth were stilled",2
around it cling.,2
with many sighs;,2
"then pausing, thus his prophecy renews:",2
"from the overhanging branches,",2
"ambrosial odours and ambrosial flowers,",2
that wisdom's lips seemed borrowing friendship's heart.,1
"but de lawd is all aroun' you,",2
to turnus only second in the grace,2
with such vehement force and might,0
"in prosperous days. like a dim, waning lamp",3
"her scutcheon shows white with a blazon of red,--",2
swifter far than youth's delight--,1
"whut i keer ef day is long,",2
a wail of utter agony,0
and catered for it as the cretan bees,2
"for her, though god has made her gentle and endearing,",1
"we were content to show,",2
"for high, and yet more high, the murmurs swell",2
"upon sea-beaten cape,",2
"to water, cloudlike on the bush afar,",2
"who cometh over the hills,",2
"lull’d in her lap, amidst a train of loves,",1
wid a song up on de way.,2
in monumental pomp! no grecian drop,1
have seen the danger which i dared not look,0
“why won’t the farm next to it do for you?”,2
"bertram finished the last pages, while along the silence ever",2
"""now the place where the accident occurred----""",2
no man could compete with kwasind.,2
have roughened in the gales!,2
the night had found (to him a night of wo),2
"love works at the centre,",2
the dust of half a century lies,2
"in a dell mid lawny hills,",2
"all right,' says t'other, 'only step round smart;",2
endymion would have passed across the mead,2
"what gods, what madness, hither steer’d your course?",0
"""the snow that husheth all,",2
"the silence, and the rain.",2
i'll be ther in a minit.,2
"now betimes on a morning of summer that giuki's daughter arose,",2
alas! their right to joy is plain.,1
his pass to the majestical far shore.,1
the bronze against the marble breast!,2
i watch the fog float in at the window,2
the morning and the evening made his day.,2
and ever a thrill in mine inmost heart,1
"what i have heard,",2
"sparked a ruby through its heart,",1
"reasoning to admiration, and with mee",1
whose instinct was to listen and obey.,2
"""as the gods would i see,"" said sigurd, ""though death light up the land.""",3
"counts his nectars -- enters,",2
"the orchestra had cheered till they were hoarse,",3
"under the self-same bough, and heard as there",2
tis the djinns' wild streaming swarm,2
"absently fingering and touching it,",2
would he move--so as yet they made nothing of land;,2
let sighing breezes call.,2
"it flows so long as falls the rain,",2
"the visual nerve is withered to the root,",0
"and kissed him with a sister's kiss,",2
me up like that.  'essence de la valliere'--,2
the days pass over me,2
"such days as thou, not even thou didst know,",2
but now for me than you—the other way.,2
"with the earls of the goths about her: so queenly did she seem,",1
"so there on an eve is sigurd in the ancient niblung hall,",2
"and finde thee knowing not of beasts alone,",2
i can see how you might. but i don't know!,2
"is this a time to be cloudy and sad,",0
"no rest that throbbing slave may ask,",0
"the king ordains their entrance, and ascends",1
that antwerp monks may sing a mass for thy poor spearmen's souls.,2
that has a charmingly bourbon air.,1
"who had my mother's servant been,",2
was she not somewhat that he could not rule,2
"jes heavy 'nough to turn a scale thet's doubtfle the wrong way,",2
"then rose they up around him,",2
and heavy as the dead.,0
"even while we gaze, though it awhile avail",2
and be glad in the summer morning when the kindred ride on their way;,1
"that throng our pilgrimage. its sympathy,",2
the oriole's fledglings fifty times,2
then ens is represented as father of the predicaments his ten,2
"where, all the long and lone daylight,",2
"deaf, and dumb, and blind, and cold,",0
"so generous to me. farewell, friend, since friend",1
"and others say, as we have said:",2
"why write i still all one, ever the same,",2
their first-born brother as a god.,1
and yet its whole career,2
waiting the flutter of his homemade fly;,2
with ten picked archers of my train;,2
“i’m going to put you on the farm next to it.”,2
the moon and the stars were anxious,0
"tinkle, tinkle, sweetly it sung to us,",1
"with his thoughts then, as rhyme to rhyme.",2
her not-nice load.,0
from his lady's white hand caught;,2
"that moved in the beginning o'er his face,",2
"ah! still, methinks, i hear them calling;",2
yet that whip's name too noble,2
"fooled with your promises,",0
"the cloud is gone that wove the sandstone,",2
"the meadows mine, the mountains mine, --",2
you sha' n't roll yo' eyes at me.,0
it is but three times thou hast set thine eyes,2
"brightly expressive as the twins of leda,",1
"our saxon tongue has known,--",2
"from the slaughtering of my offspring, and the spoiling of my land;",0
and when they reached the strait symplegades,2
"said then the lost arch angel, this the seat",2
"the quavering thunder thereupon had ceas'd,",3
"and brief related whom they brought, wher found,",2
"the willows, and the hazel copses green,",2
"and virtue's bright image, enstamped on the mind,",1
"he never told us what he was,",2
"though books on manners are not out of print,",2
"max laid his hand upon the old man's arm,",2
"""how to observe"" is what thy pages show,",2
while the rude winds blow off each shadowy crown.,0
"who the man, who, called a brother.",2
"i see two boats with nets, lying off the shore of paumanok, quite still;",2
"""stella, see that grasshopper",2
those wastes of frozen billows that were hurled,0
"unconscious of the passing troop,--",2
where its first shadow casts the holy mountain;,2
from its stem the ripening ear--,2
let the scared dreamer wake to see,2
"far from the woods where, when the sun has set,",2
"oh, say, is he, the eternal, there?",2
"the one good man in the world who knows me, --",1
"some, not so large, in rings,--",2
(thy kingdom come) with his revealéd face,2
"you shall not find the sons of atreus here,",2
"might, looking up, see dian dip",2
and never be forgot in mighty rome,1
"of blooming myrtle and faint lemon-flowers,",2
"these fly to the heavens--their course never ends,",2
"tells us that the day is ended.""",2
"thus while the trojan prince employs his eyes,",2
"then this old orchard, sloping to the west;",2
"and, between the river flowing and the fair green trees a-growing,",1
"by death's frequented ways,",0
the message is not like what i have learned,2
chief poet on the tiber-side,2
"which leans over to the lane,",2
"with the whole world gone blind,",0
ef zeke had be'n the bigges' man,2
"ef 'twarn't for studyin' evenins, why, i never 'd ha' ben here",2
case dey nevah tech a drouf.,2
"and not be nearer therefore to the moon,",2
were i once more the lover,2
"here those that in the rapid course delight,",1
"that satraps would have shivered at his frown,",0
"here comes the cripple jane!""  and by a fountain's side",0
"said, `pass not, so cold, these manifold",2
"radiant as moses from the mount, he stood",1
"tain't the words alone, but feelin's,",2
the end of the play.,2
i'm always thinkin' long.,2
faint voices lifted shrill with pain,0
"nor can express the love it knew,",0
"and so,",2
"till they have told their fill, could scarce express",2
"the eternal law,",2
"""sorry?  of course you are, though you compress,",2
all these were round my steady paces.,2
"shall part, yet link, thy nature's tone and mine.",2
nothin' to du but watch my shadder's trace,2
"there is nothing to hope for, i am tired,",0
"and in the air, her new voice luting soft,",1
every day a rich reward will give;,1
"was borne within the walls which, in assyrian rite,",2
"and the words which he utters, are--worship, or die!",0
"so neighbour'd to him, and yet so unseen",2
in nothing is wanting;,2
the sundown's golden trail?,1
save for a cry that echoes shrill,0
to make a body curse.,0
fearless but weary to thy arms i creep;,3
"and she passed out between the blessed things,",3
"there's a certain slant of light,",2
but your dead-ripe ones ranges high fer treatin' nothun bretherin;,0
snows hide his shoulders; from beneath his chin,2
"and that is why, the lonesome day,",0
it shines superior on a throne of gold:,1
its temples and its palaces did seem,2
that _she_ should walk beside him on the rocks,2
but thy tranquil waters teach,1
o'er sweet profounds where only love can see.,1
"i see the thing as clear as light,--",1
sang as little children sing;,2
"my canoe to make more steady,",2
"""it is a lie, a damned, infernal lie!""",0
i would not live alway,2
all over the vale below.,2
press hard the hostile towers!,0
"the tablet telling where he ""fell on sleep,""--",2
kneeling ne'er spoiled silk stockings; quit thy state;,0
"behind the sea-wall's rugged length,",2
"may meditate a whole youth's loss,",0
"and leave the words unspoken i yet have will to speak.""",2
"appeared to me,--may i again behold it!",2
"how nature to the soul is moored,",2
"while i, ... i built up follies like a wall",0
"at length they turn to nothing else but down,",2
"the loveliest king of the king-folk, the man of sweetest speech,",1
"brown-gabled, long, and full of seams",2
those cobweb nerves he could not dull within.,0
were murmuring on the stifling air,0
see! neptune’s altars minister their brands:,2
a way that safely will my passage guide.”,2
yet was this period my time of joy:,1
"a ruby, and a pearl, or so,",2
"on which an army once did feast,",2
"from the fair brow; she, rising, only said,",2
tis the chronicle of art.,2
"ah, douglass, we have fall'n on evil days,",0
"shining and shouting each to each that place),",2
"once upon a time, i lay",2
in just the dress his century wore;,2
still is my heart and vacant is my breath--,2
would we were bidden with the rest!,2
"these are the tales, or new or old,",2
i do not keer a jot;,2
"strove to raise itself in blessing,",1
your paynim heroes faster ride,1
"grander, nobler, than that pilot",1
should favour equal to the sons of heaven:,2
down in lovah's lane.,2
"ez though i wanted to enlist 'em,",2
when the glance hast lost its beam;,0
for wanderings sad and lone.,0
"of night, and all things now retir'd to rest",2
"i see little and large sea-dots, some inhabited, some uninhabited;",2
"a sceptre,--monstrous, winged, intolerable.",0
now is past since last we met,2
"that, following this slight trace,",2
or the bolder art essaying,2
"a spirit of unresting flame,",1
"and match, and bend, and thorough-blend, in her colossal form and face.",2
she listening sate.,2
with which his house is haunted;,0
"“acca, ’tis past! he swims before my sight,",2
troubling with life the waters of the world.,0
what flecks the outer gray beyond,2
"and that unrest which men miscall delight,",3
"i see them mix'd with george's sons,",2
to hide the orb of truth--and every throne,2
"at dusk of eve,",2
lift up the favour of thy count'nance bright.,1
make a fragrance of her fame.,1
"let dat cradle swing,",2
back to its mansion call the fleeting breath?,2
"and twitter, and again are still.",2
"it steam in winter like an ox's breath,",2
"ah, soul of mine! so brave and wise",1
but laon? on high freedom's desert land,2
vain cries--throughout the streets thousands pursued,0
"else, suffer’d, it will set the heart on fire,",0
"he hid his gold,",2
"now, if thou art a poet, tell me not",2
"our hope, our remembrance, our trust,",1
in every health we drink.,2
of brynhilda's love and the wrath of gudrun.,3
"on their tracks his eyes were fastened,",2
was freedom's home or glory's grave!,3
low in supplication bending.,2
the quakers' burial-ground.,2
"then thro’ his breast his fatal sword he sent,",0
when waves forget to roll.,2
"and she said: ""what dost thou, brynhild? what matter dost thou seek?""",2
playmates' glad symphony.,1
"yon trunk had thrice a hundred rings,",2
"as under a sunbeam a cloud ascends,",2
"the moon hath veiled her face,",2
"shall dwindle, shall blend,",2
"lo now, o daughter of kings, let us rise in the face of the day,",1
"moonstruck with love, and this still thames had heard",1
an' see a hundred hills like islan's,2
or dying wail!,0
"sire, son, and grandson; so the century glides;",2
a graciousness in giving that doth make,1
"and ye who attend her imperial car,",2
"but half the secret told,",2
"""rubadub! rubadub! wake and take the road again,",2
how seen? how known? as through your glass,2
"that i an accessary needs must be,",2
and all the honors that he sought to leave,2
"harsh, featureless, and rude, barrenly perish:",0
her thoughts are like the lotus,2
"""a quick consumption, that no art could cure!",2
"dey kin talk from hyeah to yandah,",2
with the freedom of lakes and lands.,1
"a man may see the moon so, in a pond,",2
"how over, though, for even me who knew",2
with sharp turns weaving,2
"i feel the road unroll,",2
which 'mongst the wanton gods a foul reproach was held.,0
"still must mine, though bleeding, beat;",0
"when, dreadful to behold, from sea we spied",0
"still sigurd rides with the brethren, as oft in the other days,",2
"overleaning, with flickering meaning and sign,",2
"and the tree trembled, and the shouting cries",0
"""i mean estelle has always held the purse.""",2
"well, i guess i looked at that hand",2
down deep in the ground a box of gold.,2
like pageantry of mist on an autumnal stream.,2
"want and woe, which torture us,",0
a million torches lighted by thy hand,1
of bright and dark obscurity;,3
"forever quivering o'er his task,",0
look down the shining peaks of all my days,1
"of your strong and pliant branches,",1
"i look up from this page of thine,",2
"sometimes towards heav'n and the full-blazing sun,",1
"but now i see, most cruell hee,",0
o sun-hint that hath overspread,2
shall dwell in the house of my fathers and the land of the people's praise;,1
"behind the heads of children) compliments,",2
so that ye for them are made,2
"as they were loosened by that hermit old,",2
"but i, or any demmercrat, feels comf'table to stan' on,",2
(if haply the dark will of fate,0
"and, waking, find it vision,--none the less",2
"a different man was brother timothy,",2
"among the sources of thy glorious streams,",1
and yet perhaps you had been startled less,2
"but when i read of the brotherhood of lovers, how it was with them;",2
who fishes in the frog-pond still?,2
i envy the farmer's boy,2
"then along the river strand,",2
our wavering apparitions pass,2
when blighting was nearest.,0
"and i turned away to thee,",2
"these often bathed she in her fluxive eyes,",2
from her stately place on high.,1
"of long-uncoupled bed, and childless eld,",2
"no angry bolt, but harmless flame.",3
"of sainthood in purple the pattern and pick,",2
"and if my bubbles be too small for you,",2
and very venus of a pipe.,2
"where the cloudy hangings waver and the flickering shadows fall,",0
abominations; and with cursed things,0
"a hundred years, and fifty more, had spread their leaves and snows,",2
and friendship's tenderest sympathy,1
"who stood in expectation by,",2
"""what hope wouldst thou hope, o sigurd, ere we kiss, we twain, and depart?""",3
